Package                  Version
------------------------ -----------------
absl-py                  1.4.0
accelerate               0.15.0
addict                   2.4.0
aenum                    3.1.11
aiofiles                 22.1.0
aiohttp                  3.8.3
aiosignal                1.3.1
altair                   4.2.0
antlr4-python3-runtime   4.9.3
anyascii                 0.3.1
anyio                    3.6.2
anytree                  2.8.0
appdirs                  1.4.4
apsw                     3.40.0.0
arrow                    1.2.3
async-generator          1.10
async-timeout            4.0.2
attrs                    22.2.0
audioread                3.0.0
autocommand              2.2.2
Automat                  22.10.0
autosemver               0.5.5
Babel                    2.11.0
babelfish                0.6.0
base58                   2.1.1
basicsr                  1.4.2
beautifulsoup4           4.11.1
bibtexparser             1.4.0
bitsandbytes             0.34.0
blendmodes               2022
boltons                  21.0.0
Brlapi                   0.8.4
Brotli                   1.0.9
brotlicffi               1.0.9.2
btrfsutil                6.1.3
build                    0.10.0
cachetools               5.2.1
cchardet                 2.1.7
certifi                  2022.12.7
cffi                     1.15.1
chardet                  4.0.0
charset-normalizer       2.1.1
clean-fid                0.1.29
click                    8.1.3
click-didyoumean         0.3.0
clip                     1.0
colorama                 0.4.6
commonmark               0.9.1
ConfigArgParse           1.5.3
constantly               15.1.0
contourpy                1.0.7
coqpit                   0.0.17
cpufeature               0.2.0
crossrefapi              1.5.0
cryptography             39.0.0
css-parser               1.0.8
cssselect                1.2.0
csvtomd                  0.3.0
cupshelpers              1.0
cycler                   0.11.0
Cython                   0.29.28
dateparser               1.1.6
debugpy                  1.6.6
decorator                5.1.1
defusedxml               0.7.1
deprecation              2.1.0
diffusers                0.12.0
distro                   1.8.0
dnspython                2.2.1
docopt                   0.6.2
docutils                 0.19
dogpile.cache            1.1.8
dulwich                  0.19.16
einops                   0.4.1
elasticsearch            7.1.0
elasticsearch-dsl        7.4.0
English-to-IPA           0.2.1
entrypoints              0.4
enzyme                   0.4.1
exceptiongroup           1.1.0
facexlib                 0.2.5
fairscale                0.4.9
fake-useragent           1.1.1
fastapi                  0.89.1
fastjsonschema           2.16.2
feedparser               6.0.10
ffmpeg-python            0.2.0
ffmpy                    0.3.0
filelock                 3.9.0
filterpy                 1.4.5
Flask                    2.2.2
font-roboto              0.0.1
fonts                    0.0.3
fonttools                4.38.0
free-proxy               1.0.2
frozenlist               1.3.3
fsspec                   2023.1.0
ftfy                     6.1.1
future                   0.18.2
g2pkk                    0.1.2
gdown                    4.6.0
gfpgan                   1.3.8
gitdb                    4.0.10
GitPython                3.1.27
Glances                  3.3.0
gmpy2                    2.1.5
google-auth              2.16.0
google-auth-oauthlib     0.4.6
gradio                   3.16.2
grpcio                   1.51.1
grpcio-tools             1.48.2
gruut                    2.2.3
gruut-ipa                0.13.0
gruut-lang-de            2.0.0
gruut-lang-en            2.0.0
guessit                  3.5.0
h11                      0.12.0
hivemind                 1.1.5
html2text                2020.1.16
html5-parser             0.4.10
html5lib                 1.1
httpcore                 0.15.0
httpie                   3.2.1
httpx                    0.23.3
huggingface-hub          0.11.1
humanfriendly            10.0
hyperlink                21.0.0
idna                     2.10
ifaddr                   0.2.0
imageio                  2.24.0
importlib-metadata       4.13.0
incremental              22.10.0
inflate64                0.3.1
inflect                  5.6.0
inflection               0.5.1
iniconfig                2.0.0
